preset,fake_weight,threshold,cv_macro_f1,cv_accuracy,cv_macro_auc,cv_fake_recall,cv_stage1_acc,n_stage1,n_stage2,stage1_features,stage2_features
all_vs_face_bvp,2.0,0.4,0.7299393733019718,0.728125,0.8858287253581943,0.8897849462365591,0.7828125,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all,1.5,0.3,0.7299359348320844,0.728125,0.8941304657588723,0.9086021505376344,0.7796875,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all,2.0,0.35,0.7285859787482832,0.7265625,0.8923861698057571,0.9032258064516129,0.778125,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
top_split,2.0,0.3,0.7270955547608065,0.725,0.8883279384494257,0.9274193548387096,0.76875,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
all_vs_face_bvp,1.5,0.3,0.7269092242757109,0.725,0.8874121441557689,0.9086021505376344,0.7796875,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face_bvp,2.0,0.35,0.7255544562575577,0.7234375,0.8858287253581943,0.9032258064516129,0.778125,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
all_vs_face,1.0,0.4,0.7217917702292186,0.7234375,0.8657950264677555,0.8763440860215054,0.8,10,4,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all,2.0,0.3,0.7206692199917746,0.71875,0.8923861698057571,0.9139784946236559,0.7703125,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
phys_id_vs_face,1.0,0.45,0.7196255735378658,0.721875,0.8650061968120027,0.8521505376344086,0.7953125,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.5,0.4,0.7194457628012446,0.7203125,0.8654105047207109,0.8870967741935484,0.796875,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
phys_id_vs_face,1.5,0.35,0.7179656310581818,0.71875,0.8654105047207109,0.9112903225806451,0.7984375,4,4,"bvp_std,d3_temporal_score,highfreq_score,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max"
all_vs_face_bvp,2.0,0.3,0.7176842172906316,0.715625,0.8858287253581943,0.9139784946236559,0.7703125,10,5,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","identity_sim_std,boundary_score_mean,boundary_score_std,boundary_score_max,bvp_std"
