video_name,label,success,absdiff_std,boundary_score_max,boundary_score_mean,boundary_score_std,bvp_std,d3_temporal_score,highfreq_score,identity_sim_mean,identity_sim_min,identity_sim_std,patch_corr_mean,patch_signal_std_mean,pseudo_snr_db
Veo_0019.mp4,fake,True,0.015480686598553615,26.11653275489807,10.343857522796219,4.550807432893578,0.03905949139403717,1.4075762033462524,0.05186648666858673,0.9244481765673194,0.8150060194585055,0.031473024093766226,0.07678928372904674,0.18742360189048954,-8.629829135399472
Veo_0020.mp4,fake,True,0.008426446075303053,31.526594066619875,16.295154689575238,6.322618229425606,0.02549945064415272,2.126519203186035,0.04984305799007416,0.8856021991844871,0.8002410675575684,0.028939552941916566,0.07213165264042046,0.1145574229618447,-6.784829522806131
Veo_0021.mp4,fake,True,0.016241981314876818,20.81153503894806,9.290087728922567,3.954798559951322,0.036052022756558395,2.0423638820648193,0.05276428535580635,0.9126135139057795,0.8460207018506467,0.026695435955411413,0.05284405673492296,0.24331950126769009,-5.952287762192695
Veo_0022.mp4,fake,True,0.008485264736228404,13.390814967155457,9.125773691708842,2.013631062621225,0.023506023824119635,3.7573204040527344,0.0374256893992424,0.9267490725466532,0.8276992916882383,0.021405276781308456,0.03995974111349867,0.26370263989232745,-6.596066285197336
Veo_0023.mp4,fake,True,0.014094876646341068,37.420186686515805,27.03323726393283,4.15839632367654,0.03987166931392197,2.165804624557495,0.05637092515826225,0.9045440846601656,0.8362968136704592,0.021693808274356085,0.08507362306549923,0.1500950127068523,-6.6839652169987405
Veo_0024.mp4,fake,True,0.009766263460472005,29.16717555046081,21.65987372902532,3.330521141952722,0.02758770568528392,1.2292400598526,0.030334029346704483,0.9109588124033167,0.8622379347250974,0.022326082144783127,0.06106546336515334,0.16217037857813632,-5.342381949738937
Veo_0025.mp4,fake,True,0.011542891444272493,19.574877758026123,9.277012830444923,3.4720632497433948,0.025880854813549424,2.311204671859741,0.0617460198700428,0.9031939413724611,0.34361127159408733,0.051113889127438354,0.08314522154688109,0.12137564679916461,-8.288720451516848
Veo_0026.mp4,fake,True,0.014937908800606746,46.30815846443176,12.875318879919748,8.011075611276738,0.03701772247793435,2.2061550617218018,0.038620855659246445,0.9151912371761468,0.8502851488947988,0.01975878056692166,0.0661092570484459,0.15637529328509783,-7.514876755532032
Veo_0027.mp4,fake,True,0.016990473768454445,22.173710718154908,8.575762336316208,3.151011128800889,0.04307362083790644,2.3044650554656982,0.03562355041503906,0.9219420855399632,0.8676082927015611,0.019733745567576358,0.11609814141340292,0.15952499739556122,-8.875378592708895
Veo_0028.mp4,fake,True,0.010632727944846735,22.971194429397585,10.227860888081292,4.730078881598782,0.030643353989806218,1.6970163583755493,0.06168542429804802,0.9319678989247016,0.8572911423018793,0.017866183632441357,0.06926798463297201,0.13153198784880984,-7.454394839534844
Veo_0029.mp4,fake,True,0.014323374856086592,39.621080808639526,27.359851802761355,4.912366199710167,0.04150758082729301,2.6464831829071045,0.034017279744148254,0.9023257678353378,0.6962236442338368,0.05559160455556773,0.09512183222628513,0.21249848852234524,-7.014718424059866
Veo_0030.mp4,fake,True,0.010784888921257329,20.169571390151976,11.260650750088196,4.256044356236953,0.03178326752061519,1.7251235246658325,0.05085480958223343,0.9106661901821508,0.8105389991323882,0.024372180929960314,0.12319646372819328,0.106985281023444,-9.036815996450816
Veo_0031.mp4,fake,True,0.012997304956301655,18.027133932113646,8.6749855464076,3.419260164492553,0.032832973631453516,2.1585166454315186,0.027739427983760834,0.9210148937492457,0.8555565463797641,0.023529303357474867,0.08961517364985326,0.16933658169773017,-7.231246579850506
Veo_0032.mp4,fake,True,0.006957136097402831,20.284616479873655,12.455064700047174,2.8126695009264355,0.017660658368473487,2.4406025409698486,0.04410969465970993,0.9316565341907562,0.874566688948544,0.01578464114891968,0.04699965333873104,0.1104326496149665,-7.838341449323023
Veo_0033.mp4,fake,True,0.011861224034244925,32.63456941604614,22.346631262550755,4.215700277781002,0.03316743799836215,2.1120760440826416,0.041378095746040344,0.8734523134946767,0.44507051651439494,0.04740931395219598,0.08893915010041223,0.1368917482788865,-8.969372830548107
Veo_0034.mp4,fake,True,0.010320208468289892,20.034940795898436,8.214220027637978,2.7061372497499216,0.027202376860140213,1.2041575908660889,0.039697207510471344,0.9391118759522538,0.8880537222091945,0.01980085910294777,0.050886229145681625,0.13877315357243483,-7.664111686341176
Veo_0035.mp4,fake,True,0.00778249730141031,18.200932016372683,8.797643868923187,3.62063203137023,0.021418260579124597,2.3115029335021973,0.024870138615369797,0.9050903039457868,0.8229664930690588,0.019534872565105728,0.04109977677709329,0.1555415550677338,-4.079489126574825
Veo_0036.mp4,fake,True,0.01401940473107351,21.95034281730652,9.779880628449222,3.7553775696287808,0.03415357626425245,2.3047902584075928,0.1522296816110611,0.914418545687466,0.7806730444117664,0.023408921316321295,0.05401129984518708,0.2765531739446278,-8.293807290804398
Veo_0037.mp4,fake,True,0.01234511061581213,37.502857208251946,23.628261916339397,5.0601800815828595,0.03502322236263342,1.7112187147140503,0.044798120856285095,0.9135928118513208,0.8562172562887279,0.02132621637503783,0.101460155116278,0.16571121453282242,-5.804655418991567
Veo_0038.mp4,fake,True,0.013564341037846596,43.51759166240692,29.515547511987382,5.518548364219798,0.04394021983157211,3.6357738971710205,0.053887806832790375,0.8838389792015443,0.5587281625892009,0.045969663060963194,0.07808327972484093,0.2681313337983358,-5.352425975754453
Veo_0039.mp4,fake,True,0.01920024050241109,34.1733868598938,23.105214996834594,6.434412292842371,0.04898327653071251,2.60823392868042,0.053574781864881516,0.9187951737321177,0.8510629537312224,0.020569999478964245,0.11225419165886069,0.2186927401759795,-9.63615751118255
Veo_0040.mp4,fake,True,0.010274563365634187,41.465814328193666,27.177926364392047,4.733784574558356,0.02792251340606775,3.970841646194458,0.029743822291493416,0.9126347382683062,0.7744280601368903,0.0338490207794437,0.04609318195749726,0.14331223129937506,-6.0517692100436085
Veo_0041.mp4,fake,True,0.009597249431517298,36.93974972724914,26.875766096115115,4.740826442529049,0.02529882607781577,2.164475202560425,0.050808925181627274,0.9185923790995837,0.8647499160262595,0.017106780807242282,0.08259084633823212,0.1443444792460081,-4.882165190216047
Veo_0042.mp4,fake,True,0.016861149068397894,38.898634366989135,17.037551383879034,6.539719812958151,0.056493773232920555,4.659674167633057,0.04617209732532501,0.8439502314996735,0.5616804424003471,0.04588386343260729,0.16614257746785158,0.16157311444270325,-4.899247236295768
Veo_0043.mp4,fake,True,0.015510304311983934,22.42833307266235,9.384455432431617,3.8162678522202516,0.04444802771267984,1.6333580017089844,0.04811892658472061,0.9211818917670938,0.7765298798531978,0.028750235900536197,0.0884629013324701,0.17171286521741394,-8.005730915423223
Veo_0044.mp4,fake,True,0.009514888529572062,27.666391925811766,12.164325533844531,4.596456745585654,0.023522011440391663,2.4033114910125732,0.05849194526672363,0.9075165110034803,0.8486490459061997,0.018297637095583567,0.07166025251509361,0.13482955276637676,-9.882793889113163
Veo_0045.mp4,fake,True,0.011169886991758539,37.88280703544616,15.026678316878778,6.748718373706705,0.02918740705815779,3.0708625316619873,0.09235438704490662,0.9103614859095287,0.8417970234540376,0.028328857454202033,0.07167444460141933,0.191923213457351,-7.825622147516159
Veo_0046.mp4,fake,True,0.00971570322350682,24.339293026924132,13.818539308796327,2.6041534997506224,0.024486579421812597,2.3505825996398926,0.023052476346492767,0.9221300132960624,0.8489938688779933,0.02266057822852348,0.0574913400619173,0.12149030515061683,-7.084945470371355
Veo_0047.mp4,fake,True,0.008524518253452408,18.48068432331085,13.777522610108058,2.4693260834989363,0.02056191490943828,1.277683138847351,0.021808044984936714,0.9346406330054509,0.8544594415234685,0.02200221571376234,0.05501687185843476,0.10572504690322537,-4.764587558727165
0000.mp4,real,True,0.016626819350302312,9.276805958747863,4.53106914846048,1.6365041014179436,0.06124950821003064,1.0738073587417603,0.031596578657627106,0.9528206394788571,0.900078312786488,0.015763337339484238,0.21319204149340404,0.15414570711485867,-6.729325109915257
00000.mp4,real,True,0.016471032942972825,24.27841450691223,15.479142192490896,6.418513565098091,0.056700442817106365,6.55942964553833,0.042062755674123764,0.9394312788000818,0.8789913130445794,0.017980549073118534,0.0924907710601148,0.2458382095797751,-4.414835574379302
00001.mp4,real,True,0.04408230838634573,14.119949908256531,7.6130331539763025,3.104616788259696,0.18342627494843822,1.3701560497283936,0.036865945905447006,0.8266573125366947,0.6873379370591398,0.04800957297053337,0.1672381069156189,0.453055221132281,-2.2130399630908024
00002.mp4,real,True,0.035000363935727204,13.263031520843505,6.09577995384112,2.5655554318810623,0.1079650049167039,1.439234972000122,0.023282663896679878,0.8749678819180489,0.7381429258789177,0.042840296954476074,0.07273916568558902,0.49361784996651265,-6.167654743767729
00003.mp4,real,True,0.09552608143184647,9.320094079971312,6.356140860185785,1.6683957099737134,0.22441803998648482,1.7549357414245605,0.03676486015319824,0.9028142966943937,0.6473929271987743,0.054716970041743584,0.05539906311206865,14.972724235760662,-8.992393808233953
