alpha_3class,fake_threshold,macro_f1,accuracy
0.30000000000000004,0.48000000000000015,0.7657399905940244,0.765625
0.30000000000000004,0.49000000000000016,0.7610383708102905,0.7609375
0.30000000000000004,0.5000000000000002,0.765372222633089,0.765625
0.30000000000000004,0.5100000000000002,0.7638171580058505,0.7640625
0.30000000000000004,0.5200000000000002,0.765113800908158,0.765625
0.30000000000000004,0.5300000000000002,0.7604260840448686,0.7609375
0.30000000000000004,0.5400000000000003,0.7605906786922865,0.7609375
0.30000000000000004,0.5500000000000003,0.7605645145640488,0.7609375
0.30000000000000004,0.5600000000000003,0.7616878801254082,0.7625
0.30000000000000004,0.5700000000000003,0.7600983798411766,0.7609375
0.30000000000000004,0.5800000000000003,0.759885468892913,0.7609375
0.30000000000000004,0.5900000000000003,0.7550868937449259,0.75625
0.30000000000000004,0.6000000000000003,0.7548736960781953,0.75625
0.30000000000000004,0.6100000000000003,0.7594834934599307,0.7609375
0.30000000000000004,0.6200000000000003,0.7560263071992295,0.7578125
0.30000000000000004,0.6300000000000003,0.7587881805028074,0.7609375
0.30000000000000004,0.6400000000000003,0.7605385049351702,0.7625
0.30000000000000004,0.6500000000000004,0.7568097856499639,0.759375
0.30000000000000004,0.6600000000000004,0.7528589527247701,0.75625
0.30000000000000004,0.6700000000000004,0.7512137311023537,0.7546875
0.30000000000000004,0.6800000000000004,0.750927548023045,0.7546875
0.30000000000000004,0.6900000000000004,0.7536662457101678,0.7578125
0.30000000000000004,0.7000000000000004,0.7503686542791378,0.7546875
0.35000000000000003,0.3,0.742701220816972,0.740625
0.35000000000000003,0.31,0.747240052514007,0.7453125
0.35000000000000003,0.32,0.751662694715662,0.75
0.35000000000000003,0.33,0.7517289801649992,0.75
0.35000000000000003,0.34,0.7531091278180204,0.7515625
0.35000000000000003,0.35000000000000003,0.7544423465047737,0.753125
0.35000000000000003,0.36000000000000004,0.7544423465047737,0.753125
0.35000000000000003,0.37000000000000005,0.7559014525561927,0.7546875
0.35000000000000003,0.38000000000000006,0.7557758588976121,0.7546875
0.35000000000000003,0.39000000000000007,0.754185776804792,0.753125
0.35000000000000003,0.4000000000000001,0.755822444812507,0.7546875
0.35000000000000003,0.4100000000000001,0.7573527581204883,0.75625
0.35000000000000003,0.4200000000000001,0.7587231808083734,0.7578125
0.35000000000000003,0.4300000000000001,0.7600639005105506,0.759375
0.35000000000000003,0.4400000000000001,0.7600639005105506,0.759375
0.35000000000000003,0.4500000000000001,0.7659538863779601,0.765625
0.35000000000000003,0.46000000000000013,0.764411231884058,0.7640625
0.35000000000000003,0.47000000000000014,0.7628080355799175,0.7625
0.35000000000000003,0.48000000000000015,0.7642318953446198,0.7640625
0.35000000000000003,0.49000000000000016,0.7655506097119585,0.765625
0.35000000000000003,0.5000000000000002,0.7639582639582639,0.7640625
0.35000000000000003,0.5100000000000002,0.7624048683889787,0.7625
0.35000000000000003,0.5200000000000002,0.7638171580058505,0.7640625
0.35000000000000003,0.5300000000000002,0.7640228818800248,0.7640625
0.35000000000000003,0.5400000000000003,0.765273763589741,0.765625
0.35000000000000003,0.5500000000000003,0.7666791549320036,0.7671875
0.35000000000000003,0.5600000000000003,0.7617845166957585,0.7625
0.35000000000000003,0.5700000000000003,0.7600983798411766,0.7609375
0.35000000000000003,0.5800000000000003,0.7584929164702005,0.759375
